,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,0.0,Wed Apr 18 04:13:55 +0000 2018,1.0,0.0,0.0,@McDonalds,@itsjuztin The UberEATS website &amp; app will confirm if your address is eligible for delivery.,1
1,0.0,Wed Apr 18 04:04:52 +0000 2018,1.0,0.0,0.0,@McDonalds,"@Arielle140 Hey, Arielle! The UberEATS website &amp; app will confirm if your address is eligible for delivery. 😍",2
2,0.8502,Wed Apr 18 04:03:25 +0000 2018,0.618,0.0,0.382,@McDonalds,"@The_Brodiie Sounds good to us, Adam! We are always craving the opportunity to see more of you. :)",3
3,0.0,Wed Apr 18 03:39:58 +0000 2018,1.0,0.0,0.0,@McDonalds,@miriam_margaret The UberEATS website &amp; app will confirm if your address is eligible for delivery.,4
4,0.0,Wed Apr 18 03:12:30 +0000 2018,1.0,0.0,0.0,@McDonalds,"@lynnskyi We'll have some waiting for you, Lynn! 😍",5
5,0.8122,Wed Apr 18 03:04:51 +0000 2018,0.351,0.0,0.649,@McDonalds,"@strangecase Hey, thanks for the love!",6
6,0.0,Wed Apr 18 02:41:55 +0000 2018,1.0,0.0,0.0,@McDonalds,@KeyannaMartin1 You are making us hungry…,7
7,0.0,Wed Apr 18 02:36:29 +0000 2018,1.0,0.0,0.0,@McDonalds,@Malachi_Luster The UberEATS website &amp; app will confirm if your address is eligible for delivery.,8
8,0.9097,Wed Apr 18 02:22:26 +0000 2018,0.359,0.0,0.641,@McDonalds,"@DelaneyShay1 That’s cool, Delaney! Sounds like you have great taste! :)",9
9,0.8122,Wed Apr 18 02:01:00 +0000 2018,0.403,0.0,0.597,@McDonalds,"@TaylorSartori14 Hey Noah, thanks for the love!",10
10,0.508,Wed Apr 18 00:13:51 +0000 2018,0.646,0.0,0.354,@McDonalds,"@kimberellaaa_ Treat yourself, Kim! You've earned it!",11
11,0.8502,Tue Apr 17 23:55:00 +0000 2018,0.602,0.0,0.398,@McDonalds,@NUlTBLANC Sounds good to us! We are always craving the opportunity to see more of you. :),12
12,0.7777,Tue Apr 17 23:27:29 +0000 2018,0.435,0.0,0.565,@McDonalds,"@moonkriscent Sounds like you’re livin’ the dream, Kris! :)",13
13,0.7579,Tue Apr 17 23:20:00 +0000 2018,0.4,0.0,0.6,@McDonalds,@julezsntna Sounds like you’re livin’ the dream. :),14
14,0.9097,Tue Apr 17 23:07:00 +0000 2018,0.359,0.0,0.641,@McDonalds,"@makadeIic That’s cool, Mak! Sounds like you have great taste! :)",15
15,0.7579,Tue Apr 17 23:00:27 +0000 2018,0.444,0.0,0.556,@McDonalds,"@Melrubalcaba00 Sounds like you’re livin’ the dream, Melissa. :)",16
16,0.7639,Tue Apr 17 22:42:24 +0000 2018,0.45,0.118,0.432,@McDonalds,@princessgingi Awesome! Bet you're making some people green with envy! :),17
17,-0.2129,Tue Apr 17 22:40:26 +0000 2018,0.475,0.288,0.237,@McDonalds,"@sara_witte123 Because you deserve nothing but the best, Sara! :)",18
18,0.8502,Tue Apr 17 22:39:29 +0000 2018,0.618,0.0,0.382,@McDonalds,"@lovelydisastern Sounds good to us, Madalynn! We are always craving the opportunity to see more of you. :)",19
19,0.6239,Tue Apr 17 22:31:00 +0000 2018,0.719,0.0,0.281,@McDonalds,"@stileskjd That’s cool! It’s like that old saying “The stomach wants what the stomach wants.""",20
20,0.807,Tue Apr 17 22:25:24 +0000 2018,0.523,0.0,0.477,@McDonalds,"@sarahlloydd23 That's great to hear, Sarah! Thanks for the feedback.",21
21,0.7579,Tue Apr 17 22:23:50 +0000 2018,0.444,0.0,0.556,@McDonalds,"@michellehatchxo Sounds like you’re livin’ the dream, Michelle. :)",22
22,0.9097,Tue Apr 17 22:19:27 +0000 2018,0.325,0.0,0.675,@McDonalds,@mermaidere That’s cool! Sounds like you have great taste! :),23
23,0.8122,Tue Apr 17 22:10:50 +0000 2018,0.549,0.0,0.451,@McDonalds,"@ElliotTanner0 Eli, thanks for the love! We’ll see you soon then.",24
24,0.0,Tue Apr 17 22:05:50 +0000 2018,1.0,0.0,0.0,@McDonalds,@nataliakasner The UberEATS website &amp; app will confirm if your address is eligible for delivery.,25
25,0.9097,Tue Apr 17 22:02:30 +0000 2018,0.325,0.0,0.675,@McDonalds,@Kerrigan613 That’s cool! Sounds like you have great taste! :),26
26,0.4588,Tue Apr 17 21:57:29 +0000 2018,0.87,0.0,0.13,@McDonalds,"@ArtMorelli It’s all about options. Drive thru, counter or kiosk, we’re working to offer multiple ways to order your favorite items.",27
27,0.0,Tue Apr 17 21:54:48 +0000 2018,1.0,0.0,0.0,@McDonalds,@AnonRudderRump These boots will keep on dippin'. Dippin's what they do. 🎶,28
28,0.8502,Tue Apr 17 21:53:31 +0000 2018,0.602,0.0,0.398,@McDonalds,@Dragon_uzumaki Sounds good to us! We are always craving the opportunity to see more of you. :),29
29,0.8478,Tue Apr 17 21:49:52 +0000 2018,0.495,0.0,0.505,@McDonalds,@lelechristina_ Glad you’re feelin’ the burn! Thanks for fanning the flames. :),30
30,0.8011,Tue Apr 17 21:42:40 +0000 2018,0.527,0.0,0.473,@McDonalds,"@_Amy92x Thanks, Amy! Coke + us is just the perfect match!",31
31,0.784,Tue Apr 17 21:41:24 +0000 2018,0.592,0.0,0.408,@McDonalds,"@alexxscotttt Alex, it sounds like you have great taste! See you soon? 😊",32
32,0.8264,Tue Apr 17 21:36:55 +0000 2018,0.477,0.0,0.523,@McDonalds,@LMCreepss Thanks for the love! 😍 See you again soon!,33
33,0.5093,Tue Apr 17 21:35:45 +0000 2018,0.732,0.0,0.268,@McDonalds,"@lydiabranchh Aw, Lydia! Remember tomorrow is just a day away. :)",34
34,0.5562,Tue Apr 17 21:33:07 +0000 2018,0.821,0.0,0.179,@McDonalds,"@DamianBlossom_ Menu items vary by restaurant and/or franchisee, Damian. Let your favorite store know you want the Hot &amp; Spicy on the menu!",35
35,0.0,Tue Apr 17 21:32:31 +0000 2018,1.0,0.0,0.0,@McDonalds,@JourneeMuvaaa You are making us hungry…😊,36
36,0.0,Tue Apr 17 21:30:44 +0000 2018,1.0,0.0,0.0,@McDonalds,"@sianai_lee We'll have one waiting for you, Sianai! 😍",37
37,0.508,Tue Apr 17 21:26:00 +0000 2018,0.646,0.0,0.354,@McDonalds,"@sailorlisas Treat yourself, Alaisia! You've earned it! 😍",38
38,0.0,Tue Apr 17 21:25:54 +0000 2018,1.0,0.0,0.0,@McDonalds,"@shellygomezlcsw Breakfast game on point, Shelly.",39
39,0.6588,Tue Apr 17 21:24:25 +0000 2018,0.577,0.0,0.423,@McDonalds,"@honeybee919 Great plan, Edna! See you soon 😊",40
40,-0.3129,Tue Apr 17 21:24:00 +0000 2018,0.613,0.237,0.15,@McDonalds,@LinkofHyrule89 Alert! We have a McD’s emergency! Someone get Matthew a McGriddles stat!,41
41,0.85,Tue Apr 17 21:22:57 +0000 2018,0.52,0.0,0.48,@McDonalds,"@lexi_collins27 Sounds good to us, Lexi! We think you'll really like it :)",42
42,0.0,Tue Apr 17 21:22:00 +0000 2018,1.0,0.0,0.0,@McDonalds,"@_katieml Katie, individual restaurants determine menu prices which may vary based on a variety of local or nationa… https://t.co/UTcWiNifYh",43
43,0.0,Tue Apr 17 21:21:55 +0000 2018,1.0,0.0,0.0,@McDonalds,"@FeliciaSH8780 We can't wait for you to try it, Felicia! See you soon!",44
44,0.0,Tue Apr 17 21:21:26 +0000 2018,1.0,0.0,0.0,@McDonalds,@niveanikki You are making us hungry…,45
45,0.8165,Tue Apr 17 21:20:22 +0000 2018,0.517,0.0,0.483,@McDonalds,"@inlandgirl16 That's awesome, Chrystal! We think you'll really like it!",46
46,0.4738,Tue Apr 17 21:18:00 +0000 2018,0.764,0.0,0.236,@McDonalds,"@kkaren0512 We like the sound of that, Karen! See you soon!",47
47,0.8883,Tue Apr 17 21:16:40 +0000 2018,0.433,0.0,0.567,@McDonalds,"@s8175250702 That's a great idea, Sarah! Cheers to the spring season :)",48
48,0.8652,Tue Apr 17 21:13:39 +0000 2018,0.482,0.0,0.518,@McDonalds,"@TiffanyTroiano Sounds like a great plan, Tiffany! We think you'll really like it!",49
49,0.4926,Tue Apr 17 21:13:23 +0000 2018,0.834,0.0,0.166,@McDonalds,@A_Richyy We're diggin’ your enthusiasm for our McGriddles. Swing by for your faves anytime the craving hits! 😍,50
50,0.8955,Tue Apr 17 21:11:07 +0000 2018,0.357,0.0,0.643,@McDonalds,"@tracey_rangel Great, Tracey! It's the perfect treat for springtime.",51
51,0.8264,Tue Apr 17 21:09:30 +0000 2018,0.539,0.0,0.461,@McDonalds,"@Stacey_Dawn91 Sounds good to us, Stacey! We always love seeing you!",52
52,0.815,Tue Apr 17 21:07:28 +0000 2018,0.518,0.0,0.482,@McDonalds,"@Stefclayton069 That's great, Stephanie! We really think you'll like it!",53
53,0.8122,Tue Apr 17 21:07:00 +0000 2018,0.351,0.0,0.649,@McDonalds,"@the_fevre Hey, thanks for the love!",54
54,0.936,Tue Apr 17 21:05:53 +0000 2018,0.386,0.0,0.614,@McDonalds,@imthatSeni We're so glad you like it so much! Thanks for the love ❤,55
55,-0.2129,Tue Apr 17 21:03:44 +0000 2018,0.475,0.288,0.237,@McDonalds,"@yachairugh Because you deserve nothing but the best, Lauren! :)",56
56,0.717,Tue Apr 17 21:01:42 +0000 2018,0.685,0.0,0.315,@McDonalds,"@shannongtabora We can't wait for you to try it, Shannon! We hope you like it!",57
57,0.6588,Tue Apr 17 20:59:29 +0000 2018,0.672,0.0,0.328,@McDonalds,"@KellyChoularto3 That's awesome, Kelly! We look forward to seeing you. 😊",58
58,0.6588,Tue Apr 17 20:57:12 +0000 2018,0.672,0.0,0.328,@McDonalds,"@Ang430 That's great, Angie! We look forward to seeing you.",59
59,0.7777,Tue Apr 17 20:57:00 +0000 2018,0.391,0.0,0.609,@McDonalds,@bremosier Sounds like you’re livin’ the dream! :),60
60,0.8122,Tue Apr 17 20:55:00 +0000 2018,0.448,0.0,0.552,@McDonalds,"@brLeaHkaway Great, Leah! We'll see you soon :)",61
61,0.8502,Tue Apr 17 20:52:51 +0000 2018,0.602,0.0,0.398,@McDonalds,"@beck_ayy Sounds good to us, Becky! We're always craving the opportunity to see more of you. :)",62
62,0.8122,Tue Apr 17 20:47:03 +0000 2018,0.52,0.0,0.48,@McDonalds,"@muggle76 That's awesome, Patricia! Can't wait to see you :)",63
63,-0.3129,Tue Apr 17 20:46:49 +0000 2018,0.613,0.237,0.15,@McDonalds,@lyndee_9720 Alert! We have a McD’s emergency! Someone get Lyndsey a McChicken stat!,64
64,0.8502,Tue Apr 17 20:41:24 +0000 2018,0.602,0.0,0.398,@McDonalds,@Xliyaahh_ Sounds good to us! We are always craving the opportunity to see more of you. :),65
65,0.7345,Tue Apr 17 20:35:33 +0000 2018,0.64,0.0,0.36,@McDonalds,"@Juanita062815 Sounds good to us, Juanita! We look forward to seeing you :)",66
66,-0.3129,Tue Apr 17 20:35:24 +0000 2018,0.696,0.186,0.118,@McDonalds,@hollygibson7 Alert! We have a McD’s emergency! Someone get Holly an Egg and Cheese McMuffin stat!,67
67,0.6239,Tue Apr 17 20:32:34 +0000 2018,0.719,0.0,0.281,@McDonalds,"@kkmoses11 That’s cool! It’s like that old saying “The stomach wants what the stomach wants.""",68
68,0.8011,Tue Apr 17 20:26:29 +0000 2018,0.494,0.0,0.506,@McDonalds,@DaddyPattyProbs Thanks! Coke + us is just the perfect match!,69
69,0.0,Tue Apr 17 20:23:43 +0000 2018,1.0,0.0,0.0,@McDonalds,"@BadgerMama2005 Can’t wait for you to try it, Kristin! Swing by your local McD’s and let us know what you think.",70
70,0.5399,Tue Apr 17 20:20:23 +0000 2018,0.759,0.0,0.241,@McDonalds,"@rp_valerio Sounds good to us, Sheri! We can't wait to see you!",71
71,0.9097,Tue Apr 17 20:20:00 +0000 2018,0.359,0.0,0.641,@McDonalds,"@AWhite_99 That’s cool, Adam! Sounds like you have great taste! :)",72
72,0.7777,Tue Apr 17 20:10:25 +0000 2018,0.435,0.0,0.565,@McDonalds,"@_lesleyallan Sounds like you’re livin’ the dream, Lesley! :)",73
73,0.508,Tue Apr 17 20:08:27 +0000 2018,0.604,0.0,0.396,@McDonalds,@crboyz Treat yourself! You've earned it!,74
74,0.6892,Tue Apr 17 20:07:22 +0000 2018,0.701,0.0,0.299,@McDonalds,"@WVSTATEU_NCAA That's great, Sean! We can't wait for you to try it!",75
75,0.4926,Tue Apr 17 20:05:53 +0000 2018,0.715,0.0,0.285,@McDonalds,"@Britheone Sounds good to us, Bri! See you soon.",76
76,0.8268,Tue Apr 17 20:05:00 +0000 2018,0.686,0.0,0.314,@McDonalds,"@mckenziefaith99 We like to evolve our menu, so we change it up from time to time. Hope you find a new favorite, Mckenzie!",77
77,0.4588,Tue Apr 17 20:02:48 +0000 2018,0.727,0.0,0.273,@McDonalds,"@taytummurdock19 Aw, remember tomorrow is just a day away. :)",78
78,0.6785,Tue Apr 17 19:59:27 +0000 2018,0.617,0.0,0.383,@McDonalds,"@ashadams617 Yeah you do, Ashley! We think you'll really like it!",79
79,0.7901,Tue Apr 17 19:54:20 +0000 2018,0.534,0.0,0.466,@McDonalds,"@heyitsautumn2 Sounds like the best plan, Autumn! See you soon 😊",80
80,0.0,Tue Apr 17 19:51:47 +0000 2018,1.0,0.0,0.0,@McDonalds,"@madisonlin44 Aw, shucks, Madison; you're making us blush!",81
81,0.6696,Tue Apr 17 19:42:27 +0000 2018,0.527,0.0,0.473,@McDonalds,"@iamplava Aw, you're the best ever!",82
82,0.0,Tue Apr 17 19:41:54 +0000 2018,1.0,0.0,0.0,@McDonalds,@lialunes The UberEATS website &amp; app will confirm if your address is eligible for delivery.,83
83,0.8622,Tue Apr 17 19:40:04 +0000 2018,0.449,0.0,0.551,@McDonalds,"@ryan_lien That's great, Ryan! We always love seeing you 😍",84
84,0.0,Tue Apr 17 19:38:46 +0000 2018,1.0,0.0,0.0,@McDonalds,@00YSHS The UberEATS website &amp; app will confirm if your address is eligible for delivery.,85
85,0.7389,Tue Apr 17 19:32:12 +0000 2018,0.638,0.0,0.362,@McDonalds,"@Budget_Beauty8 That sounds good to us, Brittney! We really think you'll like it!",86
86,0.0,Tue Apr 17 19:26:25 +0000 2018,1.0,0.0,0.0,@McDonalds,"@kelly_hetrick We'll see you soon, Kelly!",87
87,0.8011,Tue Apr 17 19:21:11 +0000 2018,0.582,0.0,0.418,@McDonalds,"@shawnajbutler It sounds like you have great taste, Shawna! See you soon!",88
88,0.6696,Tue Apr 17 19:20:00 +0000 2018,0.527,0.0,0.473,@McDonalds,"@gengen1121 Aw, you're the best ever!",89
89,0.68,Tue Apr 17 19:19:00 +0000 2018,0.339,0.136,0.525,@McDonalds,"@cmklos Thanks for stopping by, Christene! :)",90
90,-0.3129,Tue Apr 17 19:16:23 +0000 2018,0.613,0.237,0.15,@McDonalds,@lifefortoday28 Alert! We have a McD’s emergency! Someone get Liliana a McChicken stat!,91
91,0.7412,Tue Apr 17 19:13:49 +0000 2018,0.614,0.0,0.386,@McDonalds,"@kislandamy Sounds good to us, Amy! We think you'll really like it!",92
92,0.3612,Tue Apr 17 19:13:12 +0000 2018,0.828,0.0,0.172,@McDonalds,"@itszoyyy It’s like that old saying “The stomach wants what the stomach wants.""",93
93,0.9097,Tue Apr 17 19:12:24 +0000 2018,0.359,0.0,0.641,@McDonalds,"@JulisaGraceG That’s cool, Julisa! Sounds like you have great taste! :)",94
94,0.8122,Tue Apr 17 19:10:44 +0000 2018,0.549,0.0,0.451,@McDonalds,"@rccc41413 Awesome plan, Christina! We can't wait to see you :)",95
95,0.9097,Tue Apr 17 19:02:28 +0000 2018,0.325,0.0,0.675,@McDonalds,@_SkinnyTHUGGING That’s cool! Sounds like you have great taste! :),96
96,0.6892,Tue Apr 17 19:02:22 +0000 2018,0.681,0.0,0.319,@McDonalds,"@twifan63 Great, Esther! We can't wait for you to try it!",97
97,0.9097,Tue Apr 17 19:00:23 +0000 2018,0.325,0.0,0.675,@McDonalds,@truvikin23 That’s cool! Sounds like you have great taste! :),98
98,0.6588,Tue Apr 17 18:47:59 +0000 2018,0.672,0.0,0.328,@McDonalds,"@MaryAllTimeLow_ That's great, Mary! We look forward to seeing you 😊",99
99,0.8268,Tue Apr 17 18:47:42 +0000 2018,0.674,0.0,0.326,@McDonalds,"@ChiefVertex We like to evolve our menu, so we change it up from time to time. Hope you find a new favorite!",100
100,0.0,Sun Apr 15 17:30:01 +0000 2018,1.0,0.0,0.0,@BurgerKing,that lineup tho 🙏 #BKFlowerCrown https://t.co/SnW22Iwcct,1
101,0.8313,Sun Apr 15 02:31:39 +0000 2018,0.625,0.0,0.375,@BurgerKing,"@jacksonwoodHQ we’re honored to have been in the presence of a fellow royal 👑 happy belated, Elliot!",2
102,0.0,Sat Apr 14 17:56:09 +0000 2018,1.0,0.0,0.0,@BurgerKing,@Netflix_CA people who abbreviate,3
103,0.0,Sat Apr 14 17:52:19 +0000 2018,1.0,0.0,0.0,@BurgerKing,@Netflix_CA couch + flix + fries + #BKFlowerCrown = comfiest campsite ever. 👑🌺🍟🍔,4
104,0.0,Sat Apr 14 15:37:27 +0000 2018,1.0,0.0,0.0,@BurgerKing,@RealGamerKent @oldyelIer @Jack_Septic_Eye when the right one swipes right,5
105,0.5859,Fri Apr 13 22:36:44 +0000 2018,0.441,0.0,0.559,@BurgerKing,"@MSP_Randomnesss oh wow, coincidence",6
106,0.0,Fri Apr 13 22:09:42 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ShaynieLynnC @deanrcollins … your #BKFlowerCrown,7
107,0.6908,Fri Apr 13 20:03:34 +0000 2018,0.26,0.0,0.74,@BurgerKing,@ReneBarba89 thank you kindly,8
108,0.0,Fri Apr 13 20:00:49 +0000 2018,1.0,0.0,0.0,@BurgerKing,@Argentineanborn @oldyelIer @Jack_Septic_Eye 👀,9
109,-0.296,Fri Apr 13 19:59:18 +0000 2018,0.652,0.348,0.0,@BurgerKing,@ReneBarba89 no pressure but we’re waiting for you,10
110,0.5106,Fri Apr 13 19:57:43 +0000 2018,0.548,0.0,0.452,@BurgerKing,"@spencerbarrett luckily, they exist: https://t.co/ZOsTmn0aG2",11
111,0.3182,Fri Apr 13 17:59:30 +0000 2018,0.635,0.0,0.365,@BurgerKing,@oldyelIer @Jack_Septic_Eye we sure are,12
112,0.3612,Fri Apr 13 17:20:50 +0000 2018,0.615,0.0,0.385,@BurgerKing,fries &gt; festivals #BKFlowerCrown https://t.co/7ffrUcqFng,13
113,0.0,Tue Apr 10 15:34:11 +0000 2018,0.0,0.0,0.0,@BurgerKing,2,14
114,0.0,Sun Apr 08 21:12:34 +0000 2018,1.0,0.0,0.0,@BurgerKing,they searched for the booty until they found our buns. #FakePirateFacts,15
115,0.5423,Sun Apr 08 21:00:20 +0000 2018,0.571,0.0,0.429,@BurgerKing,@RedEduban we’ll be sure to alert the staff,16
116,0.6124,Fri Apr 06 21:54:01 +0000 2018,0.556,0.083,0.361,@BurgerKing,"@ultems we don’t play favorites. 
we leave that game to parents.",17
117,-0.7241,Fri Apr 06 17:14:09 +0000 2018,0.397,0.603,0.0,@BurgerKing,@believegreta @becbecbobec @NayaRivera GUILTY AS CHARGED,18
118,0.0,Fri Apr 06 15:43:38 +0000 2018,1.0,0.0,0.0,@BurgerKing,@BubsEyes there’s always tomorrow,19
119,0.7906,Thu Apr 05 20:27:43 +0000 2018,0.364,0.0,0.636,@BurgerKing,@guccibyv @BTS_twt just sharing our love,20
120,0.7374,Thu Apr 05 18:15:26 +0000 2018,0.491,0.0,0.509,@BurgerKing,wonder why burgers taste sorta like euphoria 🤩🤩🤩,21
121,0.0,Thu Apr 05 17:53:20 +0000 2018,1.0,0.0,0.0,@BurgerKing,"@PrimeStonesy Burger King
Burger King
Burger King
Burger King
Burger King

obvi",22
122,0.4588,Thu Apr 05 13:12:02 +0000 2018,0.625,0.0,0.375,@BurgerKing,@Cryptic_Zombie welcome to a whole new world,23
123,0.34,Wed Apr 04 22:11:29 +0000 2018,0.769,0.0,0.231,@BurgerKing,@NayaRivera highlight of the day: Naya tweeting at us 😍,24
124,0.0,Wed Apr 04 22:09:34 +0000 2018,1.0,0.0,0.0,@BurgerKing,@brantdaugherty just wait till you hear our toast at the wedding 😏,25
125,0.7184,Wed Apr 04 15:26:40 +0000 2018,0.569,0.114,0.317,@BurgerKing,"@kimhidalgo @brantdaugherty he’s a beautiful man, but he’s your beautiful man, Kim. no beef, just #blessings - wish… https://t.co/G0dFqsrZKj",26
126,0.0,Wed Apr 04 02:38:55 +0000 2018,1.0,0.0,0.0,@BurgerKing,@Diyus2 ✅ can’t wait to see the photo evidence,27
127,0.8934,Wed Apr 04 02:34:35 +0000 2018,0.507,0.0,0.493,@BurgerKing,"@brantdaugherty @druidDUDE if pie could love, we’re sure it would love you back, Brant",28
128,-0.594,Wed Apr 04 02:00:28 +0000 2018,0.661,0.257,0.081,@BurgerKing,"@druidDUDE are we sorry we did it? no.
are we sorry to have hurt you? yes.

ps let us know if you wanna be the spok… https://t.co/36UFGfS8n6",29
129,-0.6249,Tue Apr 03 18:03:50 +0000 2018,0.494,0.506,0.0,@BurgerKing,@boxedlox THAT’S your worst quality…?,30
130,0.0,Tue Apr 03 16:07:32 +0000 2018,1.0,0.0,0.0,@BurgerKing,@publius420 @callakessler there’s nothing that nuggets can’t fix,31
131,0.0,Tue Apr 03 15:32:40 +0000 2018,1.0,0.0,0.0,@BurgerKing,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus but aren't buns bread?,32
132,0.0,Tue Apr 03 15:25:16 +0000 2018,1.0,0.0,0.0,@BurgerKing,@jasonnash @trishapaytas @DavidDobrik @NickAntonyan a drive thru double dip deserves proper recognition #OneMoreRound,33
133,0.4939,Tue Apr 03 15:08:53 +0000 2018,0.686,0.0,0.314,@BurgerKing,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus care to weigh in?,34
134,0.0,Tue Apr 03 15:05:07 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ZeiglerZach gotcha,35
135,0.3182,Tue Apr 03 14:01:50 +0000 2018,0.566,0.0,0.434,@BurgerKing,"@adweak writing samples, please.",36
136,0.0,Tue Apr 03 14:00:17 +0000 2018,1.0,0.0,0.0,@BurgerKing,@doomdoomzz tuesday,37
137,0.4404,Mon Apr 02 22:05:08 +0000 2018,0.775,0.0,0.225,@BurgerKing,"@Odditiezzz @trishapaytas @DavidDobrik @jasonnash @NickAntonyan thanks for the intro. sup, @NickAntonyan?",38
138,0.7096,Mon Apr 02 18:42:20 +0000 2018,0.753,0.0,0.247,@BurgerKing,@trishapaytas @DavidDobrik @jasonnash @NickAntonyan the guy in back declaring his longtime love for BK (0:04) is our new spirit animal,39
139,0.4019,Mon Apr 02 18:36:46 +0000 2018,0.69,0.0,0.31,@BurgerKing,@DCeu_Fan @nieblatoxica @ixconner this might help: https://t.co/wWbuB74cek,40
140,0.5719,Sun Apr 01 19:05:39 +0000 2018,0.175,0.0,0.825,@BurgerKing,jk lol https://t.co/8GuNt3DD8h,41
141,0.0,Sat Mar 31 18:10:56 +0000 2018,1.0,0.0,0.0,@BurgerKing,@AuntieAnnes @marimar_toledo not opposed,42
142,0.0,Fri Mar 30 19:53:41 +0000 2018,1.0,0.0,0.0,@BurgerKing,@_MidnightPurple ... chocolate,43
143,0.0,Fri Mar 30 19:36:06 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ozzylawd bc that’s a helicopter,44
144,-0.1877,Fri Mar 30 19:11:30 +0000 2018,0.775,0.225,0.0,@BurgerKing,"@Crooked_Crafter don't jokes begin with ""knock knock""?",45
145,0.0,Fri Mar 30 19:07:50 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ModReds @MarkTapper @mills0686 @NicollJoshua RIP,46
146,0.6369,Fri Mar 30 18:58:16 +0000 2018,0.417,0.0,0.583,@BurgerKing,@lilcabmoney212 love that guy,47
147,0.296,Fri Mar 30 18:53:24 +0000 2018,0.312,0.0,0.688,@BurgerKing,@ChrisPatrick64 yeah,48
148,0.0,Fri Mar 30 18:48:40 +0000 2018,1.0,0.0,0.0,@BurgerKing,@JColesby we’re riding a sugar high,49
149,0.0,Fri Mar 30 18:46:58 +0000 2018,1.0,0.0,0.0,@BurgerKing,@NirvanaMonk116 all chocolate melts...,50
150,0.0,Fri Mar 30 18:45:04 +0000 2018,1.0,0.0,0.0,@BurgerKing,"@PepeTheSlayer all you need to do to have a beach body is have a body, and go to the beach.",51
151,0.4404,Fri Mar 30 18:44:19 +0000 2018,0.633,0.0,0.367,@BurgerKing,@NadaSpecial_ thanks for letting us know,52
152,0.0,Fri Mar 30 18:39:54 +0000 2018,1.0,0.0,0.0,@BurgerKing,the NEW chocolate Whopper. coming soon to your local Burger King. maybe. https://t.co/9N1snyYhRX,53
153,0.0,Fri Mar 30 18:07:19 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ynngtrece anytime fam,54
154,-0.5267,Fri Mar 30 18:06:17 +0000 2018,0.469,0.531,0.0,@BurgerKing,@Bflores777 @Gracemaylie2 @DUDEwipes wth,55
155,0.5859,Fri Mar 30 17:28:54 +0000 2018,0.652,0.0,0.348,@BurgerKing,@bowentibbetts @PardonMyTake @BarstoolBigCat @PFTCommenter @hen_ease well it’s definitely not a krabby patty,56
156,0.0,Fri Mar 30 17:27:13 +0000 2018,1.0,0.0,0.0,@BurgerKing,"@atoj247 @stoolpresidente @barstoolsports why don't you sleep on it, decide in the morning",57
157,0.3182,Fri Mar 30 17:03:38 +0000 2018,0.796,0.0,0.204,@BurgerKing,@atoj247 @stoolpresidente @barstoolsports you don’t sound 100% sure about that,58
158,0.3612,Fri Mar 30 11:51:05 +0000 2018,0.737,0.0,0.263,@BurgerKing,@pdt7796 that sounds like the name of a town,59
159,0.0,Fri Mar 30 00:35:57 +0000 2018,1.0,0.0,0.0,@BurgerKing,@ohmichele24 so do people though,60
160,0.0,Fri Mar 30 00:09:23 +0000 2018,1.0,0.0,0.0,@BurgerKing,"@AlecBelmore @nfbrennan what are ""facts"" anyway",61
